gene.name,Sham1_1,TBI1_1,TBI1_2,Sham1_2,TBI1_3,TBI1_4,Sham14_1,TBI14_1,Sham14_2,TBI14_2,TBI14_3,TBI14_4,Sham14_3,Sham14_4
A1bg,1,1,0,6,0,0,5,10,9,6,9,8,4,17
A1cf,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A1i3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2m,0,0,0,0,0,0,0,1,0,0,1,4,0,1
A3galt2,121,416,582,49,564,604,85,114,84,100,117,227,139,107
A4galt,0,0,0,0,0,0,1,0,0,0,0,0,0,2
AA926063,6,12,15,12,4,5,1,1,4,5,7,5,2,0
Aaas,753,1400,1224,842,1183,1100,766,620,705,784,756,719,644,843
Aacs,766,823,992,764,709,695,853,653,873,883,908,872,964,932
Aadac,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadacl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadacl3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadat,387,826,561,353,651,435,148,165,134,244,215,283,157,181
Aaed1,37,25,32,34,28,31,33,33,36,28,61,43,56,35
Aagab,327,347,462,497,283,387,315,336,356,341,430,380,346,307
Aak1,8405,5456,11653,16337,7060,9797,6958,7273,6985,5530,10084,7265,12212,7510
Aamdc,95,78,50,79,85,59,56,58,60,77,74,76,58,74
Aamp,3318,3149,4737,3850,4539,4386,2626,2789,3063,2996,3793,3234,3165,2929
Aanat,8,19,13,6,2,1,10,6,11,13,13,4,8,19
Aar2,413,228,503,375,475,304,330,358,400,377,606,497,547,419
Aard,79,104,143,69,67,57,35,28,27,18,46,26,47,39
Aars,5291,5207,8713,7957,7329,8036,3917,4227,4551,4173,5296,4930,5302,4832
Aars2,387,430,418,406,302,300,492,374,463,488,520,481,399,565
Aarsd1,1376,1410,1441,1376,1756,1341,1525,1244,1590,1562,1840,1488,1553,1772
Aasdhppt,538,510,843,1112,739,1107,328,308,346,274,437,340,431,372
Aass,381,194,115,248,182,224,159,83,120,128,168,133,159,177
Aatf,262,304,667,402,564,538,202,244,204,226,257,249,226,207
Aatk,5861,7717,5681,7161,5996,4375,7384,6483,7310,8156,7215,9700,7656,9968
Abat,2298,1521,2143,2333,1247,1324,1201,1276,1177,1155,1727,1739,2351,1293
Abca1,785,1007,1154,770,874,1218,742,1841,720,1396,1535,3199,1013,878
Abca13,15,26,12,23,20,24,8,8,11,26,11,21,13,14
Abca15,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Abca17,30,51,63,44,33,31,64,55,67,46,42,53,59,65
